step,baseline_train_loss,reader_train_loss
0,10.397902,10.397383
1,10.386316,10.385813
2,10.366484,10.363858
3,10.334968,10.322117
4,10.29037,10.250022
5,10.222484,10.124058
6,10.125069,9.935408
7,9.972007,9.681781
8,9.72323,9.392436
9,9.58339,9.145926
10,9.286507,8.878981
11,8.991821,8.6296
12,8.735044,8.417831
13,8.499538,8.214992
14,8.288185,8.02806
15,8.084364,7.851444
16,7.894763,7.689358
17,7.729895,7.550151
18,7.571765,7.415909
19,7.428262,7.294968
20,7.292669,7.178928
21,7.170522,7.074799
22,7.063908,6.985098
23,6.95764,6.89404
24,6.862967,6.813552
25,6.779393,6.743376
26,6.697734,6.673446
27,6.615909,6.60184
28,6.542924,6.538206
29,6.478534,6.483004
30,6.419178,6.431984
31,6.362978,6.383897
32,6.314156,6.343205
33,6.264656,6.299751
34,6.222813,6.262851
35,6.190922,6.236036
36,6.151037,6.201646
37,6.117958,6.17274
38,6.090394,6.149985
39,6.062788,6.125854
40,6.030392,6.097653
41,6.021092,6.091679
42,5.994939,6.069162
43,5.969079,6.045543
44,5.947105,6.026529
45,5.928594,6.009486
46,5.908331,5.992334
47,5.891123,5.977423
48,5.868758,5.958127
49,5.846359,5.938795
50,5.830003,5.924648
51,5.810484,5.906016
52,5.787951,5.885169
53,5.760051,5.858792
54,5.737559,5.839172
55,5.716939,5.820333
56,5.701707,5.807932
57,5.682098,5.789729
58,5.658448,5.769293
59,5.636731,5.749711
60,5.61582,5.730945
61,5.600787,5.716783
62,5.58135,5.699273
63,5.561035,5.680316
64,5.542597,5.66376
65,5.530862,5.65391
66,5.511422,5.635928
67,5.490634,5.616531
68,5.468006,5.595941
69,5.44929,5.577449
70,5.426048,5.556208
71,5.408382,5.539358
72,5.395824,5.527724
73,5.378269,5.509831
74,5.356861,5.489835
75,5.335356,5.469143
76,5.310732,5.446557
77,5.297407,5.434746
78,5.284578,5.423308
79,5.260142,5.39999
80,5.248445,5.389939
81,5.230406,5.373151
82,5.213602,5.356307
83,5.202265,5.345999
84,5.188791,5.333359
85,5.172435,5.316545
86,5.164377,5.308225
87,5.148461,5.292045
88,5.131941,5.275916
89,5.112967,5.255339
90,5.095728,5.237238
91,5.066612,5.207679
92,5.045939,5.186335
93,5.033112,5.172501
94,5.010634,5.149434
95,4.993283,5.130008
96,4.991645,5.126348
97,4.980523,5.112803
98,4.972194,5.103263
99,4.961488,5.092323
100,4.952563,5.084194
101,4.950907,5.080136
102,4.937756,5.066003
103,4.929445,5.058629
104,4.910736,5.038682
105,4.890599,5.017517
106,4.877533,5.001377
107,4.864598,4.986612
108,4.855015,4.974894
109,4.835831,4.952586
110,4.825222,4.940572
111,4.816676,4.930309
112,4.815102,4.926401
113,4.806541,4.915415
114,4.789419,4.894974
115,4.769704,4.872307
116,4.752767,4.854263
117,4.73796,4.838536
118,4.736218,4.835125
119,4.711509,4.80887
120,4.69316,4.787449
121,4.687902,4.78075
122,4.681393,4.773356
123,4.67303,4.762743
124,4.659217,4.747367
125,4.652592,4.739648
126,4.645382,4.730349
127,4.642296,4.725391
128,4.634511,4.716735
129,4.620338,4.70118
130,4.617256,4.697469
131,4.606971,4.684509
132,4.606937,4.683564
133,4.600843,4.676943
134,4.590359,4.666576
135,4.578268,4.651785
136,4.56808,4.642235
137,4.555672,4.629546
138,4.541464,4.613489
139,4.526451,4.59825
140,4.517681,4.588473
141,4.511304,4.579702
142,4.494231,4.562009
143,4.486694,4.553887
144,4.474329,4.541507
145,4.461896,4.52867
146,4.455872,4.523909
147,4.446654,4.512636
148,4.447943,4.511064
149,4.441376,4.504759
150,4.443214,4.504887
151,4.422668,4.482761
152,4.410254,4.471817
153,4.386344,4.448293
154,4.35963,4.41887
155,4.351332,4.409951
156,4.338567,4.399172
157,4.327048,4.387687
158,4.319962,4.381084
159,4.306278,4.367139
160,4.285825,4.347407
161,4.285762,4.34602
162,4.278776,4.34025
163,4.269285,4.330035
164,4.258135,4.320096
165,4.262898,4.326395
166,4.250402,4.313996
167,4.248457,4.314521
168,4.244323,4.309823
169,4.240628,4.30574
170,4.230909,4.29866
171,4.221586,4.291953
172,4.213947,4.28341
173,4.201498,4.272236
174,4.182211,4.255265
175,4.177875,4.251847
176,4.163235,4.238693
177,4.158279,4.233683
178,4.151812,4.228119
179,4.144922,4.224311
180,4.131497,4.211938
181,4.119951,4.201879
182,4.110374,4.193825
183,4.10893,4.197023
184,4.105902,4.196403
185,4.093855,4.186249
186,4.085235,4.180653
187,4.088199,4.18498
188,4.082563,4.181613
189,4.073669,4.176765
190,4.062601,4.168983
191,4.052541,4.160267
192,4.03705,4.145942
193,4.030865,4.139932
194,4.030788,4.140115
195,4.016494,4.128825
196,4.013347,4.129649
197,4.015895,4.133812
198,4.003535,4.122115
199,4.006155,4.125845
200,4.002907,4.124793
201,4.000999,4.122639
202,3.986175,4.109661
203,3.982202,4.107575
204,3.966656,4.094634
205,3.953377,4.0815
206,3.948605,4.07697
207,3.942251,4.07322
208,3.930821,4.066039
209,3.91435,4.052431
210,3.916565,4.056967
211,3.910414,4.051827
212,3.902387,4.044505
213,3.893844,4.037547
214,3.893553,4.040501
215,3.885258,4.033676
216,3.86623,4.012642
217,3.856468,4.004032
218,3.858818,4.007817
219,3.851567,4.000275
220,3.838712,3.989327
221,3.842897,3.996836
222,3.845304,4.002253
223,3.841632,4.001503
224,3.836778,3.999432
225,3.845509,4.010204
226,3.837113,4.003043
227,3.830411,3.997531
228,3.828447,3.99665
229,3.828399,3.996125
230,3.82604,3.993853
231,3.8254,3.993611
232,3.815024,3.984236
233,3.795639,3.965839
234,3.795303,3.965625
235,3.791462,3.962947
236,3.788471,3.960646
237,3.78014,3.950967
238,3.777421,3.94812
239,3.767661,3.940842
240,3.766624,3.941051
241,3.763036,3.938496
242,3.76415,3.941517
243,3.751757,3.930242
244,3.744191,3.923438
245,3.746991,3.926922
246,3.740374,3.922151
247,3.731548,3.914996
248,3.73009,3.914574
249,3.728243,3.9132
250,3.728926,3.913958
251,3.738581,3.922564
252,3.736237,3.920635
253,3.736016,3.921213
254,3.729721,3.914899
255,3.722373,3.906446
256,3.715866,3.899358
257,3.710324,3.894175
258,3.712353,3.897934
259,3.708799,3.895516
260,3.713508,3.902584
261,3.701024,3.890215
262,3.690547,3.87989
263,3.693383,3.885368
264,3.681414,3.876694
265,3.680407,3.878289
266,3.677156,3.87327
267,3.666696,3.86309
268,3.670252,3.86812
269,3.660571,3.856916
270,3.653535,3.848185
271,3.654322,3.848404
272,3.65253,3.845066
273,3.660471,3.854777
274,3.665723,3.859319
275,3.655944,3.849338
276,3.658085,3.850253
277,3.662996,3.853914
278,3.657399,3.849246
279,3.643489,3.835132
280,3.63699,3.829486
281,3.643876,3.838474
282,3.635196,3.83132
283,3.633817,3.832568
284,3.622999,3.822989
285,3.620947,3.82101
286,3.629383,3.827272
287,3.620915,3.819177
288,3.61442,3.813603
289,3.616511,3.816568
290,3.625595,3.826732
291,3.637032,3.839257
292,3.641872,3.842121
293,3.642866,3.842222
294,3.632794,3.832229
295,3.625228,3.826075
296,3.625583,3.826498
297,3.622857,3.824602
298,3.618156,3.819376
299,3.621297,3.82226
300,3.617566,3.819143
301,3.622898,3.824962
302,3.621534,3.823082
303,3.618194,3.820209
304,3.620155,3.82227
305,3.61936,3.821519
306,3.623207,3.824527
307,3.616172,3.819425
308,3.619861,3.822811
309,3.621176,3.823015
310,3.612997,3.814548
311,3.617069,3.820386
312,3.621772,3.827402
313,3.622353,3.827867
314,3.616134,3.822024
315,3.603294,3.809016
316,3.605428,3.812024
317,3.592511,3.798974
318,3.601108,3.803621
319,3.604394,3.805686
320,3.603948,3.805616
321,3.596803,3.799108
322,3.595187,3.799091
323,3.585978,3.789802
324,3.585589,3.789468
325,3.584093,3.788249
326,3.579232,3.783773
327,3.573589,3.778249
328,3.573242,3.777111
329,3.574366,3.778957
330,3.58271,3.787567
331,3.581722,3.786799
332,3.584121,3.790732
333,3.58263,3.789883
334,3.576943,3.7848
335,3.570989,3.780305
336,3.57604,3.785781
337,3.575301,3.784479
338,3.573437,3.781359
339,3.575541,3.782666
340,3.568952,3.776624
341,3.565836,3.773708
342,3.562848,3.770884
343,3.556168,3.76382
344,3.549083,3.757263
345,3.548518,3.755544
346,3.535897,3.743264
347,3.537571,3.745254
348,3.529492,3.737292
349,3.527114,3.735831
350,3.536306,3.744562
351,3.540522,3.74951
352,3.549374,3.75704
353,3.547065,3.754598
354,3.528848,3.736882
355,3.523423,3.730768
356,3.498325,3.707143
357,3.505398,3.714039
358,3.51087,3.72043
359,3.510706,3.720512
360,3.517221,3.728837
361,3.518671,3.729519
362,3.516033,3.726156
363,3.503285,3.713965
364,3.493439,3.704359
365,3.499854,3.7098
366,3.499943,3.710258
367,3.510497,3.720775
368,3.506315,3.714878
369,3.496378,3.702173
370,3.497989,3.703769
371,3.500528,3.706352
